지점명,주소
부산부경대점,"부산광역시 남구 수영로334번길 50, 1층"
부산사직점,부산 동래구 사직북로5
부산서면롯데후문점,부산광역시 부산진구 부전로66번길 12
부산센텀시티점,부산 해운대구 센텀1로 17
부산수영점,부산광역시 수영구 수영로 707
부산장산역점,부산 해운대구 해운대로 814 세종월드프라자 A동 134호
부산전포카페거리점,부산시 부산진구 전포대로199번길 27
부산정관점,부산 기장군 정관읍 정관로 566 헬로시티 101호
부산하단동아대점,부산 사하구 하단동 497-36 외 1 필지 더휴103호
해운대점,부산시 해운대구 해운대로 620
NC구로점,서울 구로구 구로중앙로 152
NC송파점,"서울 송파구 충민로 66, Young관 2층 Food Street"
w몰점,서울시 금천구 디지털로 188
가로수길점(6월 오픈예정),서울 강남구 압구정로10길 36 영진빌딩 1층 (신사동)
강남본점,서울특별시 서초구 서초동 1321-9 풍림아이원매직 제1층 102호
강남역점,서울특별시 강남구 강남대로78길 22
강남우성점,서울 서초구 서초동1337-22 대우디오빌프라임 1층 104호
경희대점,서울 동대문구 회기동 16-47
광장점,서울 광진구 아차산로 502 진넥스오딧세이 1층 105호
광화문D타워점,서울시 종로구 종로3길 17 디타워1층
구로디지털단지점,서울 구로구 디지털로33길 12
길음뉴타운점,서울 성북구 길음로7길 6
노량진점,서울 동작구 노량진동 119-64 제1호
노원은행사거리점,서울 노원구 한글비석로 265 102호
대학로점,서울시 종로구 연건동 76
동대문점,서울특별시 중구 을지로 255
마곡역점,서울 강서구 공항대로 190
마포역점,"서울특별시 마포구 마포대로 68, 1층 108호"
면목역점,서울특별시 중랑구 면목동 103-5
목동역점,서울 양천구 목동로 211
문래GS타워점,서울 영등포구 문래동3가 84-2
문정역점,서울 송파구 송파대로 167 테라타워 B동 지하1층 G124호
보라매점,서울 동작구 보라매로 5가길 7
상수역점,서울 마포구 독막로 77
상암DMC점,서울 마포구 상암동1605 누리꿈스퀘어
서울가재울뉴타운점,서울 서대문구 거북골로 100
서울대입구점,서울시 관악구 관악로 168
서울로테라스점,"서울 중구 퇴계로 18, 서울로테라스 2층"
서초역점,서울시 서초구 서초대로46길 3
석촌호수점,서울시 송파구 석촌동 24-11
선릉역점,서울 강남구 역삼동 709-5 테헤란아이파크 상가-2 1층 22호
선유도역점,서울 영등포구 양평동4가 130
성수역점,서울특별시 성동구 아차산로7길 9-2
성신여대점,서울 성북구 동소문로20가길 22
시흥신세계아울렛점(오픈예정),경기 시흥시 서해안로 699 시흥 신세계 프리미엄 아울렛
신논현역점,서울 서초구 서초동 1303-16 강남역아이파크 제지1층
압구정역점,서울시 강남구 압구정로 162
양재역점,서울 강남구 도곡동 957-14
양천향교점,서울시 강서구 마곡동로 10길 46
여의도KBS점,서울 영등포구 의사당대로 38 102동 106호
여의도신영증권점,서울 영등포구 국제금융로8길 16
역삼GS점,서울 강남구 테헤란로27길 18 1층
역삼역점,서울 강남구 테헤란로25길 15
연신내역점,서울 은평구 연서로 244
왕십리점,서울 성동구 왕십리로 336
이마트월계점,서울 노원구 마들로3길 15 이마트월계점 1층
이마트트레이더스연산점,부산 연제구 좌수영로 241 이마트트레이더스연산점 1층
잠실점,서울 송파구 신천동 7번지 장미A상가동 내제1동 1층 108호
잠원역점,서울시 서초구 잠원동 61-9
충남대점,대전광역시 유성구 궁동 400-4
파르나스몰점,서울특별시 강남구 테헤란로521 B1층 파르나스몰
피나클강남구청역점,서울시 강남구 학동로 343 B108호
한남순천향점,서울 용산구 한남동 636-7
한티역점,서울 강남구 대치동 938
홈플러스목동점,서울 양천구 목동서로 170 지상 1층
홍대입구점,서울 마포구 홍익로15
세종새롬점,"세종시 새롬동 새롬중앙로47, 세움빌딩114호"
세종시청점,세종시 남세종로 454번지
세종아름점,세종특별자치시 보듬3로 91
울산공업탑점,울산 남구 신정동 1233-7
울산대점,울산 남구 무거동 617-3
울산삼산점,울산시 남구 삼산동 1522-1
울산성남점,울산 중구 성남동 243-4
울산신천점,울산 북구 매산1로 17
울산일산점,울산 동구 방어진순환도로 621
송도점,인천 연수구 송도동 3-6 아크리아1 제1층 106호
송도타임스페이스점,인천 연수구 하모니로 158 A동
인천계양구청점,인천광역시 계양구 용종동 210-6
인천구월점,인천 남동구 예술로 126 제1층 110호
인천구월힐캐슬점,인천광역시 남동구 구월로 212
인천논현점,인천시 남동구 논현동 631-11에스닷몰 1층 101호
인천부평점,인천광역시 부평구 부평대로36번길 8
인천신포점,인천 중구 개항로 33
인하대점,인천 미추홀구 인하로77번길 22
청라국제업무단지점,인천 서구 청라한내로100번길 10 청라큐브시그니처 109호
청라커널웨이점,인천광역시 서구 청라동 162-10
현대아울렛송도점,인천 연수구 송도국제대로 123 현대프리미엄 아울렛 송도점
광양중마점,전남 광양시 공영로 78
순천대점,전남 순천시 중앙로 268
순천신대점,전남 순천시 해룡면 향매로 59
순천연향점,전남 순천시 연향3로 11
여수해양공원점,전남 여수시 이순신 광장로 191-3
차없는거리점,전남 목포시 영산로75번길 22
군산수송점,전북 군산시 수송로 200
익산모현점,전북 익산시 모현동1가 840
익산영등점,전북 익산시 무왕로 1040
전북대점,전라북도 전주시 덕진구 권삼득로 311
전북도청점,전라북도 전주시 완산구 홍산남로 62
전주객사점,전북 전주시 완산구 고사동 42-4
전주에코시티점,전북 전주 덕진구 송천동2가 1301-2
전주평화점(오픈예정),전북 전주시 완산구 평화동2가 890-1 102호
서귀포중앙점,제주특별자치도 서귀포시 중앙로 72
